Code,Quantity,Cost,Serial,Customer
I000000954,1,36000,03SDHNFJ300091,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300093,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300094,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300098,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTJGC00014,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200001,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200002,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200003,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200004,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200005,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200006,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200007,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200008,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200009,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200010,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200011,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200012,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200013,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200015,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200016,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200018,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200020,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200021,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200022,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200023,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200024,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200025,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200026,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200027,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200028,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200029,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200030,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200031,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200032,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,0MY1HTRJ200033,"SM Lifestyle Entertainment, Inc."
I000001175,1,36575,03J4HNDJ400002,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400003,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400008,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400011,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400013,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400018,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400019,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400020,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400021,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400023,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400025,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400026,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400027,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400031,Goldilocks - Head Office
I000001175,1,36575,03J4HNDJ400032,Goldilocks - Head Office
